0,Quel,"[2.0]"
1,ramo,"[1.0, 2.0]"
2,del,"[0.0]"
3,lago,"[2.0, 3.0]"
4,di,"[]"
5,Como,"[2.0]"
6,che,"[1.0]"
7,volge,"[]"
8,a,"[]"
9,mezzogiorno,"[0.0, 10.0]"
10,tra,"[]"
11,due,"[0.0]"
12,catene,"[2.0]"
13,non,"[]"
14,interrotte,"[1.0, 4.0]"
15,di,"[]"
16,monti,"[0.0]"
17,tutto,"[2.0, 3.0]"
18,a,"[]"
19,seni,"[]"
20,e,"[]"
21,a,"[0.0]"
22,golfi,"[4.0]"
23,a,"[]"
24,seconda,"[2.0]"
25,dello,"[4.0]"
26,sporgere,"[3.0, 4.0]"
27,e,"[]"
28,del,"[]"
29,rientrare,"[0.0, 2.0]"
30,di,"[]"
31,quelli,"[]"
32,vien,"[]"
33,quasi,"[4.0]"
34,a,"[]"
35,un,"[]"
36,tratto,"[0.0, 4.0]"
37,a,"[]"
38,ristringersi,"[6.0]"
39,e,"[]"
40,a,"[]"
41,prender,"[]"
42,corso,"[]"
43,e,"[]"
